APN,Id,bonus_unit
124-830-01,0,Yes
124-830-04,0,Yes
124-840-01,0,Yes
124-840-04,0,Yes
124-840-07,0,Yes
124-850-03,0,Yes
124-860-07,0,Yes
124-870-02,0,Yes
124-880-00,0,Yes
124-880-02,0,Yes
124-890-02,0,Yes
124-900-03,0,Yes
124-911-03,0,Yes
124-912-01,0,Yes
124-912-04,0,Yes
124-921-03,0,Yes
124-921-05,0,Yes
124-921-06,0,Yes
124-921-08,0,Yes
124-921-11,0,Yes
124-921-14,0,Yes
124-921-17,0,Yes
124-921-20,0,Yes
124-921-23,0,Yes
125-010-03,,No
125-010-12,,No
125-010-17,,No
125-010-20,,No
125-030-09,,No
125-030-13,,No
125-030-16,,No
125-041-04,,No
125-041-07,,No
125-041-09,,No
125-041-12,,No
125-041-15,,No
125-051-02,,No
125-051-05,,No
125-051-08,,No
125-051-11,,No
125-051-13,,No
125-051-14,,No
125-052-01,,No
125-131-02,0,Yes
125-131-07,0,Yes
125-131-10,0,Yes
125-131-13,0,Yes
125-131-16,0,Yes
125-131-18,0,Yes
125-131-19,0,Yes
125-131-21,0,Yes
125-131-25,0,Yes
125-131-30,0,Yes
125-131-34,0,Yes
125-132-01,0,Yes
125-132-04,0,Yes
125-132-07,0,Yes
125-132-09,0,Yes
125-132-12,0,Yes
125-132-15,0,Yes
125-132-18,0,Yes
125-132-23,0,Yes
125-134-03,0,Yes
125-134-08,0,Yes
125-134-10,0,Yes
125-134-13,0,Yes
123-053-07,0,Yes
125-134-16,0,Yes
125-134-20,0,Yes
125-135-02,0,Yes
125-141-01,0,Yes
125-141-07,,No
125-141-09,,No
125-141-10,,No
125-141-13,,No
125-141-17,,No
125-141-20,,No
125-141-23,,No
125-141-26,,No
125-141-30,,No
125-141-32,,No
125-141-33,,No
125-142-01,,No
125-142-04,,No
125-142-09,,No
125-142-12,,No
125-142-15,,No
125-143-01,,No
125-143-04,0,Yes
125-143-06,0,Yes
125-145-01,,No
125-151-03,,No
125-151-06,,No
125-151-09,,No
125-151-12,,No
125-151-18,,No
125-151-20,,No
125-151-25,,No
125-151-28,,No
125-152-03,,No
125-152-06,,No
125-152-09,,No
125-152-12,,No
125-152-14,,No
125-153-01,,No
125-153-03,,No
125-154-01,,No
125-155-02,,No
125-155-07,,No
125-155-10,,No
125-155-13,,No
125-155-15,,No
125-155-16,,No
125-155-18,,No
125-156-02,,No
125-156-05,,No
125-156-08,,No
125-161-03,,No
125-161-06,,No
125-161-11,,No
125-161-13,,No
125-161-16,,No
125-161-19,,No
125-161-22,,No
125-161-25,,No
125-161-28,,No
125-161-31,,No
125-161-33,,No
125-161-36,,No
125-161-39,,No
125-161-42,,No
125-161-45,,No
125-161-49,,No
125-162-02,,No
125-162-04,,No
125-162-05,,No
125-162-07,,No
125-162-10,,No
125-162-13,,No
125-162-16,,No
125-162-19,,No
125-163-02,,No
125-163-04,,No
125-163-05,,No
125-163-07,,No
125-163-10,,No
125-163-13,,No
125-163-16,,No
125-163-19,,No
125-163-24,,No
125-163-27,,No
125-163-29,,No
125-163-34,,No
125-163-37,,No
125-164-01,,No
125-171-02,,No
125-171-05,,No
125-171-08,,No
125-171-10,,No
125-171-11,,No
125-171-13,,No
125-171-16,,No
125-171-19,,No
125-171-22,,No
125-172-01,,No
125-172-05,,No
125-172-07,,No
125-172-09,,No
125-172-11,,No
125-172-14,,No
125-172-18,,No
125-172-21,,No
125-172-27,,No
125-172-33,,No
125-172-36,,No
125-173-01,,No
125-173-04,,No
125-173-07,,No
125-173-10,,No
125-173-13,,No
125-173-16,,No
125-173-19,,No
125-173-21,,No
125-173-24,,No
125-174-03,,No
125-174-06,,No
125-174-09,,No
125-174-12,,No
125-174-16,,No
125-174-18,,No
125-174-20,,No
125-181-01,,No
125-181-04,,No
125-181-07,,No
125-181-10,,No
125-181-13,,No
125-181-16,,No
125-181-18,,No
125-181-19,,No
125-181-21,,No
125-181-24,,No
125-181-27,,No
125-181-30,,No
125-181-33,,No
125-181-36,,No
125-181-50,,No
125-181-53,,No
125-181-57,,No
125-181-60,,No
125-183-02,,No
125-184-01,,No
125-184-04,,No
125-185-02,,No
125-185-04,,No
125-185-07,,No
125-185-10,,No
125-185-13,,No
125-185-16,,No
125-185-19,,No
125-185-22,,No
125-185-24,,No
125-185-25,,No
125-185-27,,No
125-185-30,,No
125-192-01,,No
125-192-04,0,Yes
125-192-07,0,Yes
125-192-10,,No
125-192-12,,No
125-192-13,,No
125-201-04,,No
125-201-07,,No
125-201-10,,No
125-201-13,,No
125-211-07,,No
125-221-03,,No
125-221-06,,No
125-221-08,,No
125-221-11,,No
125-221-14,,No
125-221-17,,No
125-221-20,,No
125-222-01,,No
125-222-04,,No
125-222-06,,No
125-222-07,,No
125-222-09,,No
125-222-12,,No
125-223-03,,No
125-223-06,,No
125-223-09,,No
125-223-12,,No
125-223-14,,No
125-223-15,,No
125-223-17,,No
125-223-20,,No
125-223-23,,No
125-223-26,,No
125-223-29,,No
125-223-32,,No
125-231-04,,No
125-231-08,,No
125-231-11,,No
125-231-14,,No
125-231-17,,No
125-231-21,,No
125-232-06,,No
125-232-09,,No
125-232-11,,No
125-232-14,,No
125-232-17,,No
125-232-20,,No
125-232-25,,No
125-232-28,,No
125-233-02,,No
125-233-04,,No
125-233-05,,No
125-233-07,,No
125-241-03,,No
125-241-06,,No
125-242-01,,No
125-242-04,,No
125-243-01,,No
125-243-03,,No
125-243-04,,No
125-243-06,,No
125-243-09,,No
125-243-12,,No
125-243-15,,No
125-243-18,,No
125-243-21,,No
125-243-24,,No
125-243-26,,No
125-243-29,,No
125-243-32,,No
125-243-35,,No
125-243-38,,No
125-244-03,,No
125-244-08,,No
125-244-10,,No
125-244-13,,No
125-244-16,,No
125-244-19,,No
125-244-24,,No
125-244-27,,No
125-244-30,,No
125-244-32,,No
125-244-33,,No
125-244-35,,No
125-244-38,,No
125-245-01,,No
125-245-04,,No
125-245-07,,No
125-245-10,,No
125-245-12,,No
125-251-01,,No
125-251-03,,No
125-251-07,,No
125-251-10,,No
125-251-13,,No
125-252-03,,No
125-252-06,,No
125-253-02,,No
125-253-04,,No
125-253-07,,No
125-254-02,,No
125-254-05,,No
125-254-08,,No
125-351-03,,No
125-352-02,,No
125-352-04,,No
125-352-05,,No
125-352-07,,No
125-352-10,,No
125-352-13,,No
125-352-17,,No
125-352-20,,No
125-353-03,,No
125-353-05,,No
125-353-06,,No
125-353-08,,No
125-361-03,,No
125-361-06,,No
125-361-09,,No
125-361-12,,No
125-361-15,,No
125-362-03,,No
125-362-05,,No
125-362-08,,No
125-362-11,,No
125-363-01,,No
125-363-04,,No
125-371-01,,No
125-371-04,,No
