ScoreSheetUrl,APN,Status,ParcelNickname,IPESScore,IPESType,BaseAllowableCoveragePercent,IPESTotalAllowableCoverageSqFt,ParcelHasDOAC,HistoricOrImportedIpesScore,CalculationDate,FieldEvaluationDate,RelativeErosionHazardScore,RunoffPotentialScore,AccessScore,UtilityInSEZScore,ConditionOfWatershedScore,AbilityToRevegetateScore,WaterQualityImprovementsScore,ProximityToLakeScore,LimitedIncentivePoints,TotalParcelArea,IPESBuildingSiteArea,SEZLandArea,SEZSetbackArea,InternalNotes,PublicNotes
https://parcels.laketahoeinfo.org/IpesScore/Detail/5521,033-581-019,Active,,0,Official,1%,,Unknown,Yes,12/19/2016 16:38,10/16/2000 0:00,0,0,50,0,36,15,20,50,0,,12400,12400,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5522,033-581-026,Active,,0,Official,1%,,Unknown,Yes,12/19/2016 16:38,,383,22,70,40,36,0,20,50,0,,10700,10700,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5523,033-582-004,Active,,0,Official,0%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,10000,10000,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5524,033-582-005,Active,,0,Official,1%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,10000,10000,0,ctc acquired,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5525,033-582-012,Active,,878,Official,26%,,Unknown,Yes,12/19/2016 16:38,,398,81,158,110,36,25,20,50,0,,10000,800,800,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5526,033-583-002,Active,,780,Official,20%,,Unknown,Yes,12/19/2016 16:38,,349,59,131,110,36,25,20,50,0,,10000,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5527,033-591-008,Active,,837,Information Only,23%,,Unknown,Yes,,,380,44,170,110,36,35,20,50,0,,35400,26900,1800,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/20641,033-591-008,Active,,837,Official,23%,,Unknown,Yes,12/19/2016 16:38,,,,,,,,,,,,,,,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5528,033-592-003,Active,,0,Official,0%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,36200,36200,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5529,033-601-001,Active,,842,Official,23%,8218,Unknown,Yes,12/19/2016 16:38,,387,34,170,110,36,35,20,50,0,,35729,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5530,033-601-003,Active,,889,Official,26%,,Unknown,Yes,12/19/2016 16:38,,397,81,170,110,36,25,20,50,0,,36800,0,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5531,033-604-001,Active,,0,Official,1%,145,Unknown,Yes,12/19/2016 0:00,,0,0,0,0,0,0,0,0,0,,14520,14700,0,,
https://parcels.laketahoeinfo.org/IpesScore/Detail/5532,033-611-001,Active,,0,Official,1%,,Unknown,Yes,12/19/2016 16:38,,0,0,0,0,0,0,0,0,0,,10400,10400,0,CTC acquisition = Deed restricted retirement = deactivation. TH,
