TAZ,TRPAID,Residential_Units,TouristAccommodation_Units,CommercialFloorArea_SqFt,Total_Res_Units,Total_TA_Units,Total_CommercialFloorArea_SqFt,Residential_Units_Proportion,TouristAccommodation_Units_Proportion,CommercialFloorArea_SqFt_Proportion
153,0606102220012020,52,0,10943,211,0,35695,0.24644549763033174,0.0,0.30656954755568006
153,0606102220022020,159,0,24752,211,0,35695,0.7535545023696683,0.0,0.6934304524443199
154,0606102220012020,273,0,11326,273,0,11326,1.0,0.0,1.0
155,0606102220012020,31,0,35156,32,46,151234,0.96875,0.0,0.2324609545472579
155,0606102220022020,1,46,116078,32,46,151234,0.03125,1.0,0.7675390454527421
156,0606102220012020,5,0,0,5,0,0,1.0,0.0,0.0
157,0606102220012020,3,33,139762,24,93,188314,0.125,0.3548387096774194,0.7421753029514534
157,0606102220022020,21,60,48552,24,93,188314,0.875,0.6451612903225806,0.2578246970485466
158,0606102220022020,1,0,4540,1,0,4540,1.0,0.0,1.0
159,0606102220012020,0,0,0,1,24,23668,0.0,0.0,0.0
159,0606102220022020,1,24,23668,1,24,23668,1.0,1.0,1.0
160,0606102010422020,23,0,0,234,0,12955,0.09829059829059829,0.0,0.0
160,0606102010432020,9,0,10472,234,0,12955,0.038461538461538464,0.0,0.8083365495947511
160,0606102220022020,202,0,2483,234,0,12955,0.8632478632478633,0.0,0.19166345040524893
161,0606102210022020,0,0,0,7,0,0,0.0,0.0,0.0
161,0606102220022020,7,0,0,7,0,0,1.0,0.0,0.0
162,0606102220012020,3,0,11498,12,0,58203,0.25,0.0,0.19754995446970086
162,0606102220022020,9,0,46705,12,0,58203,0.75,0.0,0.8024500455302991
164,0606102010422020,60,0,0,60,0,0,1.0,0.0,0.0
165,0606102010422020,0,0,0,0,0,0,0.0,0.0,0.0
166,0606102010412020,65,0,11852,690,0,131020,0.09420289855072464,0.0,0.09045947183636086
166,0606102010422020,438,0,113693,690,0,131020,0.6347826086956522,0.0,0.8677530148068997
166,0606102010432020,187,0,5475,690,0,131020,0.2710144927536232,0.0,0.04178751335673943
167,0606102010412020,667,0,0,667,0,0,1.0,0.0,0.0
168,0606102010412020,151,0,1403,170,0,1403,0.888235294117647,0.0,1.0
168,0606102010522020,19,0,0,170,0,1403,0.11176470588235295,0.0,0.0
169,0606102010412020,0,0,4608,25,0,7026,0.0,0.0,0.6558497011101623
169,0606102010432020,23,0,2418,25,0,7026,0.92,0.0,0.3441502988898377
169,0606102010522020,2,0,0,25,0,7026,0.08,0.0,0.0
170,0606102010432020,41,0,0,41,0,0,1.0,0.0,0.0
171,0606102010432020,199,0,0,199,0,0,1.0,0.0,0.0
172,0606102010432020,0,0,0,0,0,0,0.0,0.0,0.0
173,0606102010432020,109,21,4903,109,21,4903,1.0,1.0,1.0
173,0606102220022020,0,0,0,109,21,4903,0.0,0.0,0.0
174,0606102010522020,966,0,0,966,0,0,1.0,0.0,0.0
175,0606102010512020,21,0,0,23,0,0,0.9130434782608695,0.0,0.0
175,0606102010522020,2,0,0,23,0,0,0.08695652173913043,0.0,0.0
176,0606102010512020,40,8,31145,90,8,31145,0.4444444444444444,1.0,1.0
176,0606102010522020,50,0,0,90,8,31145,0.5555555555555556,0.0,0.0
177,0606102010512020,35,0,54695,35,0,54695,1.0,0.0,1.0
178,0606102010512020,555,0,0,555,0,0,1.0,0.0,0.0
178,0606102010612020,0,0,0,555,0,0,0.0,0.0,0.0
179,0606102010512020,150,0,0,193,0,0,0.7772020725388601,0.0,0.0
179,0606102010522020,43,0,0,193,0,0,0.22279792746113988,0.0,0.0
179,0606102010612020,0,0,0,193,0,0,0.0,0.0,0.0
180,0606102010612020,121,0,0,121,0,0,1.0,0.0,0.0
181,0606102010612020,310,263,41655,528,284,45362,0.5871212121212122,0.926056338028169,0.9182796173008245
181,0606102010622020,218,21,3707,528,284,45362,0.4128787878787879,0.07394366197183098,0.08172038269917552
182,0606102010622020,243,55,50876,243,55,50876,1.0,1.0,1.0
183,0606102010622020,200,0,0,200,0,0,1.0,0.0,0.0
184,0606102010612020,57,0,0,94,0,0,0.6063829787234043,0.0,0.0
184,0606102010622020,37,0,0,94,0,0,0.39361702127659576,0.0,0.0
185,0606102010612020,0,0,8543,0,0,8543,0.0,0.0,1.0
186,0606102010612020,224,0,0,224,0,0,1.0,0.0,0.0
187,0606102010622020,0,0,0,0,0,0,0.0,0.0,0.0
188,0606102010622020,424,0,0,439,0,0,0.9658314350797267,0.0,0.0
188,0606102010712020,15,0,0,439,0,0,0.03416856492027335,0.0,0.0
189,0606102010622020,5,0,0,104,150,44786,0.04807692307692308,0.0,0.0
189,0606102010732020,99,150,44786,104,150,44786,0.9519230769230769,1.0,1.0
190,0606102010712020,446,9,53500,1246,71,253800,0.3579454253611557,0.1267605633802817,0.210795902285264
190,0606102010722020,588,42,104077,1246,71,253800,0.47191011235955055,0.5915492957746479,0.4100748620961387
190,0606102010732020,212,20,96223,1246,71,253800,0.17014446227929375,0.28169014084507044,0.3791292356185973
191,0606102010712020,189,0,0,189,0,0,1.0,0.0,0.0
191,0606102010732020,0,0,0,189,0,0,0.0,0.0,0.0
192,0606102010712020,183,0,7949,183,0,7949,1.0,0.0,1.0
192,3203100330832020,0,0,0,183,0,7949,0.0,0.0,0.0
200,3200500170022020,0,1288,2730,0,1288,2730,0.0,1.0,1.0
201,3200500170022020,0,154,0,0,154,0,0.0,1.0,0.0
202,3200500180012020,0,950,0,0,950,0,0.0,1.0,0.0
203,3200500180012020,5,0,0,5,0,0,1.0,0.0,0.0
204,3200500180012020,0,64,31745,0,64,31745,0.0,1.0,1.0
205,3200500170012020,0,0,0,0,0,91446,0.0,0.0,0.0
205,3200500180012020,0,0,91446,0,0,91446,0.0,0.0,1.0
206,3200500170012020,0,0,0,242,123,57308,0.0,0.0,0.0
206,3200500170022020,242,123,57308,242,123,57308,1.0,1.0,1.0
207,3200500180012020,0,0,0,0,0,0,0.0,0.0,0.0
208,3200500180012020,29,0,0,29,0,0,1.0,0.0,0.0
208,3200500180022020,0,0,0,29,0,0,0.0,0.0,0.0
209,3200500180012020,0,35,0,99,106,0,0.0,0.330188679245283,0.0
209,3200500180022020,99,71,0,99,106,0,1.0,0.6698113207547169,0.0
210,3200500180022020,63,669,10285,63,669,10285,1.0,1.0,1.0
211,3200500180012020,18,0,0,297,50,0,0.06060606060606061,0.0,0.0
211,3200500180022020,279,50,0,297,50,0,0.9393939393939394,1.0,0.0
212,3200500180012020,177,0,21435,177,0,21435,1.0,0.0,1.0
213,3200500180012020,521,0,194030,521,0,194030,1.0,0.0,1.0
214,3200500170012020,0,0,0,4,0,0,0.0,0.0,0.0
214,3200500180012020,4,0,0,4,0,0,1.0,0.0,0.0
215,3200500180012020,26,0,7513,72,0,26725,0.3611111111111111,0.0,0.2811225444340505
215,3200500180022020,46,0,19212,72,0,26725,0.6388888888888888,0.0,0.7188774555659495
216,3200500180022020,247,0,0,247,0,0,1.0,0.0,0.0
217,3200500170012020,0,0,49085,256,0,49085,0.0,0.0,1.0
217,3200500170022020,256,0,0,256,0,49085,1.0,0.0,0.0
218,3200500170012020,1,0,0,1,0,0,1.0,0.0,0.0
219,3200500170012020,193,110,3477,193,110,3477,1.0,1.0,1.0
220,3200500160012020,135,0,0,137,0,0,0.9854014598540146,0.0,0.0
220,3200500170012020,2,0,0,137,0,0,0.014598540145985401,0.0,0.0
221,3200500170012020,332,0,20415,332,0,20415,1.0,0.0,1.0
222,3200500170012020,47,0,133861,47,0,133861,1.0,0.0,1.0
223,3200500160012020,7,0,0,282,0,31114,0.024822695035460994,0.0,0.0
223,3200500170012020,275,0,31114,282,0,31114,0.975177304964539,0.0,1.0
224,3200500160012020,187,32,0,187,32,0,1.0,1.0,0.0
225,3200500160012020,279,5,25396,279,5,25396,1.0,1.0,1.0
225,3200500170012020,0,0,0,279,5,25396,0.0,0.0,0.0
226,3200500160012020,0,0,0,0,0,0,0.0,0.0,0.0
227,3200500160022020,0,0,0,0,0,0,0.0,0.0,0.0
228,3200500160022020,0,0,0,0,0,0,0.0,0.0,0.0
229,3200500160022020,338,0,0,338,0,0,1.0,0.0,0.0
230,3200500160022020,94,0,0,94,0,0,1.0,0.0,0.0
231,3200500160022020,141,0,4771,141,0,4771,1.0,0.0,1.0
232,3200500160022020,23,0,0,23,0,0,1.0,0.0,0.0
233,3200500160022020,13,0,0,13,0,0,1.0,0.0,0.0
234,3200500160022020,2,0,0,2,0,0,1.0,0.0,0.0
235,3200500160022020,22,0,0,22,0,0,1.0,0.0,0.0
236,3200500160022020,2,0,0,2,0,0,1.0,0.0,0.0
237,3200500160022020,54,0,0,54,0,0,1.0,0.0,0.0
238,3200500160022020,0,0,0,0,0,0,0.0,0.0,0.0
240,3200500160022020,237,0,0,237,0,0,1.0,0.0,0.0
241,3200500160022020,1,0,0,1,0,0,1.0,0.0,0.0
242,3200500160022020,64,0,0,64,0,0,1.0,0.0,0.0
243,3200500160022020,2,0,0,2,0,0,1.0,0.0,0.0
