taz,Alternative_1_total_residential_units,Alternative_1_total_occ_units,Alternative_1_occ_units_low_inc,Alternative_1_occ_units_med_inc,Alternative_1_occ_units_high_inc,Alternative_1_total_persons,Alternative_2_total_residential_units,Alternative_2_total_occ_units,Alternative_2_occ_units_low_inc,Alternative_2_occ_units_med_inc,Alternative_2_occ_units_high_inc,Alternative_2_total_persons,Alternative_3_total_residential_units,Alternative_3_total_occ_units,Alternative_3_occ_units_low_inc,Alternative_3_occ_units_med_inc,Alternative_3_occ_units_high_inc,Alternative_3_total_persons,diff_Alternative_3_vs_Alternative_2_total_residential_units,diff_Alternative_3_vs_Alternative_2_total_occ_units,diff_Alternative_3_vs_Alternative_2_occ_units_low_inc,diff_Alternative_3_vs_Alternative_2_occ_units_med_inc,diff_Alternative_3_vs_Alternative_2_occ_units_high_inc,diff_Alternative_3_vs_Alternative_2_total_persons
157,34.0,30,20,7,3,64,34.0,30,19,7,4,64,34.0,31,20,8,3,66,0.0,1,1,1,-1,2
158,782.0,622,382,96,144,1364,923.0,763,368,238,157,1674,782.0,642,382,104,156,1408,-141.0,-121,14,-134,-1,-266
159,736.0,548,210,165,173,1191,779.0,591,214,178,199,1285,736.0,567,210,179,178,1230,-43.0,-24,-4,1,-21,-55
160,696.0,485,270,148,67,804,821.0,628,341,188,99,1041,696.0,501,270,160,71,830,-125.0,-127,-71,-28,-28,-211
161,152.0,120,79,5,36,199,158.0,134,87,13,34,222,152.0,124,79,5,40,205,-6.0,-10,-8,-8,6,-17
162,329.0,248,157,81,10,411,338.0,257,156,83,18,426,329.0,256,157,88,11,424,-9.0,-1,1,5,-7,-2
163,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
164,1.0,1,0,0,1,2,1.0,1,0,0,1,2,1.0,1,0,0,1,2,0.0,0,0,0,0,0
165,428.0,223,115,31,77,323,434.0,231,122,31,78,334,428.0,230,115,34,81,333,-6.0,-1,-7,3,3,-1
166,259.0,136,73,19,44,197,266.0,143,79,19,45,207,259.0,140,73,21,46,203,-7.0,-3,-6,2,1,-4
167,261.0,128,47,30,51,365,266.0,133,51,30,52,379,261.0,132,47,32,53,376,-5.0,-1,-4,2,1,-3
168,160.0,78,28,17,33,222,163.0,81,31,17,33,231,160.0,81,28,18,35,229,-3.0,0,-3,1,2,-2
169,70.0,34,12,7,15,96,71.0,35,13,7,15,99,70.0,35,12,8,15,100,-1.0,0,-1,1,0,1
170,208.0,102,38,24,40,290,210.0,104,40,24,40,295,208.0,105,38,26,41,299,-2.0,1,-2,2,1,4
171,76.0,37,13,8,16,105,78.0,39,16,8,15,111,76.0,38,13,9,16,109,-2.0,-1,-3,1,1,-2
172,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
173,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
174,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
175,1063.0,459,87,76,296,1142,1080.0,477,101,77,299,1187,1063.0,474,87,82,305,1179,-17.0,-3,-14,5,6,-8
176,339.0,172,46,40,86,388,342.0,175,47,40,88,395,339.0,178,46,43,89,401,-3.0,3,-1,3,1,6
177,61.0,37,9,12,16,78,61.0,37,9,12,16,78,61.0,38,9,13,16,80,0.0,1,0,1,0,2
178,436.0,227,47,44,136,516,440.0,231,50,45,136,525,436.0,234,47,48,139,532,-4.0,3,-3,3,3,7
179,379.0,190,49,39,102,473,391.0,203,61,39,103,506,379.0,196,49,42,105,489,-12.0,-7,-12,3,2,-17
180,1.0,1,0,0,1,2,1.0,1,0,0,1,2,1.0,1,0,0,1,2,0.0,0,0,0,0,0
181,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0
182,14.0,8,1,4,3,17,16.0,10,2,4,4,22,14.0,8,1,4,3,18,-2.0,-2,-1,0,-1,-4
183,35.0,25,5,12,8,54,36.0,26,6,12,8,56,35.0,26,5,13,8,56,-1.0,0,-1,1,0,0
184,22.0,7,0,0,7,20,22.0,7,0,0,7,20,22.0,7,0,0,7,20,0.0,0,0,0,0,0
185,156.0,75,14,14,47,173,157.0,76,13,14,49,175,156.0,77,14,15,48,179,-1.0,1,1,1,-1,4
186,100.0,60,16,19,25,127,100.0,60,15,19,26,127,100.0,62,16,21,25,131,0.0,2,1,2,-1,4
187,23.0,14,4,5,5,30,23.0,14,4,5,5,30,23.0,14,4,5,5,31,0.0,0,0,0,0,1
188,71.0,43,11,14,18,91,74.0,46,14,14,18,97,71.0,44,11,15,18,94,-3.0,-2,-3,1,0,-3
189,13.0,6,2,1,3,16,13.0,6,2,1,3,16,13.0,6,2,1,3,17,0.0,0,0,0,0,1
