TAZ,total_residential_units,occupied_units,occupancy_rate,seasonal_rate,household_size,high_income_proportion,middle_income_proportion,low_income_proportion,people
227.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
228.0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0
229.0,128,0,0.0,0.0,0.0,0.0,0.0,0.0,0
230.0,997,0,0.0,0.0,0.0,0.0,0.0,0.0,0
231.0,93,0,0.0,0.0,0.0,0.0,0.0,0.0,0
232.0,202,0,0.0,0.0,0.0,0.0,0.0,0.0,0
233.0,67,0,0.0,0.0,0.0,0.0,0.0,0.0,0
234.0,564,0,0.14298808432630614,1.0,2.166776737902856,0.3333333333333333,0.25,0.4166666666666667,0
235.0,47,0,0.14298808432630614,1.0,2.166776737902856,0.3333333333333333,0.25,0.4166666666666667,0
236.0,188,0,0.14298808432630614,1.0,2.166776737902856,0.3333333333333333,0.25,0.4166666666666667,0
237.0,114,0,0.14298808432630614,1.0,2.166776737902856,0.3333333333333333,0.25,0.4166666666666667,0
238.0,0,0,0.14298808432630614,1.0,2.166776737902856,0.3333333333333333,0.25,0.4166666666666667,0
239.0,96,0,0.1443511564606893,0.9996055382430673,2.166776737902856,0.34062476015043364,0.24932842121421445,0.4100468186353519,0
240.0,5,0,0.14954381221072038,0.9981028267880858,2.166776737902856,0.3684016242155777,0.2467700258397933,0.38482834994462906,0
241.0,338,0,0.17052214144084601,0.9920318725099602,0.0,0.4806201550387597,0.23643410852713176,0.28294573643410853,0
242.0,95,0,0.1705046374076071,0.992090461682681,2.166776737902856,0.4834071327429381,0.2353406172750618,0.28125224998200016,0
243.0,117,0,0.1682368148611737,0.9996812749003985,2.166776737902856,0.8444879640962872,0.09366789065687474,0.061844145246838025,0
244.0,198,1,0.168141592920354,1.0,2.166776737902856,0.8596491228070176,0.08771929824561403,0.05263157894736842,1
245.0,0,0,0.168141592920354,1.0,2.166776737902856,0.8596491228070176,0.08771929824561403,0.05263157894736842,0
246.0,0,0,0.168141592920354,1.0,2.166776737902856,0.8596491228070174,0.08771929824561403,0.05263157894736842,0
247.0,97,0,0.168141592920354,1.0,2.166776737902856,0.8596491228070176,0.08771929824561403,0.05263157894736842,0
248.0,357,0,0.168141592920354,1.0,2.166776737902856,0.8596491228070176,0.08771929824561403,0.05263157894736842,0
249.0,633,1,0.250070796460177,0.9700598802395209,2.187218027883072,0.6587402240541111,0.09406045233565842,0.2471993236102304,1
250.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
251.0,313,3,0.332,0.940119760479042,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.4417670682730924,5
252.0,78,0,0.33199999999999996,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.4417670682730924,0
253.0,214,7,0.332,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.1004016064257028,0.4417670682730924,12
254.0,274,0,0.0,0.0,0.0,0.0,0.0,0.0,0
255.0,46,5,0.332,0.9401197604790418,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.44176706827309237,10
256.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0
257.0,26,2,0.332,0.940119760479042,2.2076593178632877,0.45783132530120474,0.10040160642570281,0.44176706827309237,4
258.0,1,0,0.332,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.44176706827309237,0
259.0,0,0,0.332,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.44176706827309237,0
260.0,249,30,0.332,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.44176706827309237,41
261.0,7,1,0.3281893393702408,0.9415123241888316,2.206708560189789,0.46717592524320045,0.10010666902616586,0.4327174057306337,3
262.0,12,2,0.332,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.44176706827309237,2
264.0,61,0,0.0,0.0,0.0,0.0,0.0,0.0,0
265.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
266.0,683,0,0.0,0.0,0.0,0.0,0.0,0.0,0
267.0,672,0,0.0,0.0,0.0,0.0,0.0,0.0,0
268.0,172,0,0.0,0.0,0.0,0.0,0.0,0.0,0
269.0,24,0,0.2864367816091954,0.9716494845360824,0.0,0.5248796147672552,0.22632423756019265,0.24879614767255215,0
270.0,41,0,0.0,0.0,0.0,0.0,0.0,0.0,0
271.0,200,0,0.0,0.0,0.0,0.0,0.0,0.0,0
272.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
273.0,109,0,0.332,0.9401197604790419,2.2076593178632877,0.4578313253012048,0.10040160642570281,0.44176706827309237,0
274.0,977,8,0.2864367816091954,0.9716494845360824,0.0,0.5248796147672552,0.22632423756019263,0.2487961476725522,0
275.0,28,0,0.2491418797052119,0.9800322447039832,1.911260613150161,0.5232769942184897,0.2788836502513372,0.19783935553017304,0
276.0,93,2,0.2522181042366804,0.97934080294778,1.9112606131501608,0.5234091844213072,0.27454835115077014,0.20204246442792256,1
277.0,48,0,0.22332233223322331,0.9858356940509916,1.911260613150161,0.5221674876847291,0.31527093596059114,0.1625615763546798,0
278.0,565,1,0.22332233223322331,0.9858356940509916,1.911260613150161,0.5221674876847291,0.31527093596059114,0.1625615763546798,1
279.0,189,1,0.23883649856027792,0.982348581097606,1.911260613150161,0.5228341557944003,0.2934069430576999,0.1837589011478998,1
280.0,121,0,0.0,0.0,0.0,0.0,0.0,0.0,0
281.0,559,26,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.4801136363636364,44
282.0,263,5,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.48011363636363635,5
283.0,200,0,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.4801136363636363,0
284.0,122,0,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.48011363636363635,0
285.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
286.0,234,0,0.0,0.0,0.0,0.0,0.0,0.0,0
287.0,0,0,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.4801136363636364,0
288.0,441,0,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.4801136363636363,0
289.0,127,0,0.3050259965337955,0.9588528678304239,2.3098657677643653,0.21875,0.30113636363636365,0.48011363636363635,0
290.0,1318,489,0.6007259528130672,0.8727272727272727,2.5960438274873843,0.1691842900302115,0.20241691842900303,0.6283987915407855,1079
291.0,218,0,0.0,0.0,0.0,0.0,0.0,0.0,0
292.0,173,0,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,0
300.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
301.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
302.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
303.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0
304.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
305.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
306.0,256,0,0.0,0.0,0.0,0.0,0.0,0.0,0
307.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
308.0,29,0,0.4317434210526316,0.76410998552822,1.676185778377681,0.47619047619047616,0.030476190476190476,0.49333333333333335,0
309.0,157,2,0.4317434210526316,0.76410998552822,1.676185778377681,0.47619047619047616,0.030476190476190476,0.49333333333333335,2
310.0,575,3,0.4317434210526316,0.76410998552822,1.676185778377681,0.47619047619047616,0.030476190476190476,0.49333333333333335,4
311.0,332,18,0.4317434210526316,0.76410998552822,1.676185778377681,0.4761904761904761,0.030476190476190476,0.49333333333333335,22
312.0,217,0,0.0,0.0,0.0,0.0,0.0,0.0,0
313.0,520,0,0.0,0.0,0.0,0.0,0.0,0.0,0
314.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0
315.0,72,1,0.4317434210526316,0.76410998552822,1.676185778377681,0.47619047619047616,0.030476190476190476,0.49333333333333335,1
316.0,248,1,0.4317434210526316,0.76410998552822,1.6761857783776812,0.47619047619047616,0.030476190476190476,0.4933333333333334,1
317.0,246,0,0.0,0.0,0.0,0.0,0.0,0.0,0
318.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0
319.0,209,0,0.0,0.0,0.0,0.0,0.0,0.0,0
320.0,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0
321.0,401,0,0.0,0.0,0.0,0.0,0.0,0.0,0
322.0,49,0,0.0,0.0,0.0,0.0,0.0,0.0,0
323.0,277,0,0.0,0.0,0.0,0.0,0.0,0.0,0
324.0,195,0,0.0,0.0,0.0,0.0,0.0,0.0,0
325.0,279,0,0.0,0.0,0.0,0.0,0.0,0.0,0
326.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
327.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
328.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
329.0,349,26,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,28
330.0,94,0,0.0,0.0,0.0,0.0,0.0,0.0,0
331.0,142,133,0.526579739217653,0.8792372881355932,1.9623638381007,0.43238095238095237,0.26476190476190475,0.3028571428571429,133
332.0,23,16,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,17
333.0,13,11,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,12
334.0,2,1,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,2
335.0,22,18,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,18
336.0,2,2,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,2
337.0,53,48,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,52
338.0,0,0,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,0
339.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
340.0,240,42,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,43
341.0,1,1,0.526579739217653,0.8792372881355931,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,1
342.0,64,61,0.526579739217653,0.8792372881355931,1.9623638381007,0.43238095238095237,0.26476190476190475,0.3028571428571429,64
343.0,2,0,0.526579739217653,0.8792372881355931,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,0
344.0,0,0,0.526579739217653,0.8792372881355932,1.9623638381006998,0.43238095238095237,0.26476190476190475,0.3028571428571429,0
345.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0
346.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
347.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
348.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
349.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
350.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
351.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
352.0,0,0,0.496415770609319,0.8149466192170819,2.70847092237857,0.5487364620938628,0.2490974729241877,0.20216606498194944,0
353.0,0,0,0.496415770609319,0.8149466192170819,2.70847092237857,0.5487364620938628,0.2490974729241877,0.20216606498194944,0
354.0,3,1,0.496415770609319,0.8149466192170819,2.70847092237857,0.5487364620938628,0.2490974729241877,0.20216606498194944,4
358.0,10,0,0.42757579290585046,0.8024414431071023,2.70847092237857,0.6132258155227869,0.14848618840246644,0.2382879960747466,0
359.0,3,0,0.496415770609319,0.8149466192170819,2.7084709223785706,0.5487364620938628,0.2490974729241877,0.20216606498194942,0
360.0,142,9,0.390026714158504,0.7956204379562044,0.0,0.6484018264840182,0.09360730593607305,0.2579908675799087,0
361.0,409,1,0.39002671415850404,0.7956204379562045,0.0,0.6484018264840182,0.09360730593607305,0.2579908675799087,0
362.0,167,10,0.390026714158504,0.7956204379562044,0.0,0.6484018264840182,0.09360730593607305,0.2579908675799087,0
363.0,0,0,0.390026714158504,0.7956204379562044,0.0,0.6484018264840182,0.09360730593607305,0.2579908675799087,0
364.0,359,0,0.390026714158504,0.7956204379562044,0.0,0.6484018264840182,0.09360730593607305,0.2579908675799087,0
365.0,27,0,0.390026714158504,0.7956204379562044,0.0,0.6484018264840182,0.09360730593607305,0.2579908675799087,0
366.0,1,0,0.496415770609319,0.8149466192170819,2.70847092237857,0.5487364620938628,0.2490974729241877,0.20216606498194944,0
367.0,613,50,0.496415770609319,0.8149466192170819,2.70847092237857,0.5487364620938628,0.2490974729241877,0.20216606498194944,141
368.0,3,1,0.496415770609319,0.8149466192170819,2.70847092237857,0.5487364620938628,0.2490974729241877,0.20216606498194944,4
369.0,421,0,0.0,0.0,0.0,0.0,0.0,0.0,0
370.0,416,92,0.5987411487018096,0.8588235294117647,0.0,0.5361366622864652,0.21550591327201052,0.2483574244415243,0
371.0,53,51,0.5987411487018096,0.8588235294117647,0.0,0.5361366622864652,0.21550591327201052,0.2483574244415243,0
372.0,186,88,0.5987411487018096,0.8588235294117648,0.0,0.5361366622864652,0.21550591327201052,0.24835742444152428,0
373.0,463,439,0.5987411487018096,0.8588235294117647,0.0,0.5361366622864652,0.21550591327201052,0.24835742444152434,0
374.0,624,536,0.5987411487018096,0.8588235294117648,0.0,0.5361366622864652,0.21550591327201052,0.2483574244415243,0
375.0,76,0,0.0,0.0,0.0,0.0,0.0,0.0,0
376.0,642,0,0.0,0.0,0.0,0.0,0.0,0.0,0
377.0,156,0,0.0,0.0,0.0,0.0,0.0,0.0,0
378.0,284,0,0.0,0.0,0.0,0.0,0.0,0.0,0
379.0,139,0,0.0,0.0,0.0,0.0,0.0,0.0,0
380.0,6,0,0.4740024183796856,0.8482758620689655,0.0,0.33163265306122447,0.30612244897959184,0.3622448979591837,0
381.0,200,9,0.4740024183796856,0.8482758620689655,0.0,0.33163265306122447,0.30612244897959184,0.36224489795918374,0
382.0,246,29,0.4740024183796856,0.8482758620689655,0.0,0.33163265306122447,0.30612244897959184,0.3622448979591837,0
383.0,323,1,0.47400241837968554,0.8482758620689655,0.0,0.33163265306122447,0.30612244897959184,0.3622448979591837,0
384.0,0,0,0.4740024183796856,0.8482758620689655,0.0,0.33163265306122447,0.30612244897959184,0.3622448979591837,0
385.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
386.0,182,0,0.0,0.0,0.0,0.0,0.0,0.0,0
387.0,518,0,0.0,0.0,0.0,0.0,0.0,0.0,0
388.0,15,1,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,1
389.0,91,0,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,0
390.0,1,0,0.4740024183796856,0.8482758620689655,0.0,0.33163265306122447,0.30612244897959184,0.3622448979591837,0
391.0,665,0,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,0
392.0,0,0,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,0
393.0,104,1,0.27843803056027167,0.8541176470588234,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,1
394.0,262,3,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,3
395.0,38,0,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,0
396.0,86,3,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,4
397.0,22,0,0.27843803056027167,0.8541176470588235,1.6455238434073578,0.7378048780487805,0.0,0.2621951219512195,0
