TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
292,173,97,131.44768395809666,244,239.14920802534317,60,9,27
300,0,0,0.0,0,0.0,0,0,0
301,0,0,0.0,0,0.0,0,0,0
302,0,0,0.0,0,0.0,0,0,0
303,5,4,2.906737305077968,7,7.308154506437768,2,1,1
304,0,0,0.0,0,0.0,0,0,0
305,0,0,0.0,0,0.0,0,0,0
306,256,231,0.0,549,536.9142857142856,182,42,7
307,0,0,0.0,0,0.0,0,0,0
308,29,21,16.859076369452218,43,42.38729613733905,12,3,6
309,157,68,90.77279646555382,114,111.91886774339281,34,2,32
310,575,248,332.4364306257018,416,407.1340460526315,122,8,118
311,332,149,192.00345293562046,254,248.6399483284391,74,6,68
312,217,160,126.15239904038384,324,317.1739055793991,90,23,47
313,520,384,302.3006797281088,777,760.0480686695278,216,55,112
314,4,3,2.325389844062375,6,5.846523605150214,2,0,1
315,72,39,41.70994843646158,72,70.57312711768691,21,3,15
316,248,107,143.38127790465052,179,175.5986842105263,53,3,51
317,246,222,0.0,527,515.9410714285714,175,41,7
318,1,0,0.7838108116100209,0,1.2375894039735098,0,0,0
319,209,99,163.81645962649435,264,258.65618543046355,28,6,65
320,138,71,102.54960316653737,134,131.22968215850807,19,14,37
321,401,190,314.30813545561836,507,496.27335099337745,54,11,125
322,49,23,38.40672976889102,62,60.64188079470198,7,1,15
323,277,131,216.99078839740588,349,341.9332058875547,37,8,86
324,195,100,144.73069105691056,188,184.19109792284866,27,21,52
325,279,143,207.0762195121951,269,263.5349554896142,39,29,75
326,0,0,0.0,0,0.0,0,0,0
327,0,0,0.0,0,0.0,0,0,0
328,0,0,0.0,0,0.0,0,0,0
329,349,184,284.7170444810267,361,352.85055165496493,56,49,79
330,94,49,76.68596613529085,97,95.03711133400202,15,13,21
331,142,75,115.84475735331172,147,143.56670010030092,23,20,32
332,23,12,18.763587458634998,24,23.253761283851556,4,3,5
333,13,7,10.60550595488065,13,13.143430290872619,2,2,3
334,2,1,1.6316163007508693,2,2.0220661985957875,0,0,1
335,22,12,17.947779308259562,23,22.242728184553663,4,3,5
336,2,1,1.6316163007508693,2,2.0220661985957875,0,0,1
337,53,28,43.23783196989804,55,53.584754262788366,8,7,12
338,0,0,0.0,0,0.0,0,0,0
339,0,0,0.0,0,0.0,0,0,0
340,240,126,195.7939560901043,248,242.6479438314945,38,33,55
341,1,1,0.8158081503754346,1,1.0110330992978938,0,0,1
342,64,34,52.21172162402782,66,64.7061183550652,10,9,15
343,2,1,1.6316163007508693,2,2.0220661985957875,0,0,1
344,0,0,0.0,0,0.0,0,0,0
345,2,0,0.0,0,0.0,0,0,0
346,0,0,0.0,0,0.0,0,0,0
347,0,0,0.0,0,0.0,0,0,0
348,0,0,0.0,0,0.0,0,0,0
