TAZ,Residential_Units,OccupiedUnits,SeasonalUnits,People,People_raw,LowUnits,MediumUnits,HighUnits
288,441,138,192.5914687679658,321,314.402308887502,68,40,31
289,127,70,43.88567730802415,166,162.50795081967217,70,0,0
290,1318,760,325.93613054889516,1927,1885.5175799126016,520,99,140
291,218,122,51.53263306100522,308,301.35564941921854,76,12,34
292,173,97,40.8951629337335,244,239.14920802534317,60,9,27
300,0,0,0.0,0,0.0,0,0,0
301,0,0,0.0,0,0.0,0,0,0
302,0,0,0.0,0,0.0,0,0,0
303,5,4,0.486417879200251,7,7.308154506437768,2,1,1
304,0,0,0.0,0,0.0,0,0,0
305,0,0,0.0,0,0.0,0,0,0
306,256,231,0.0,549,536.9142857142856,182,42,7
307,0,0,0.0,0,0.0,0,0,0
308,29,21,2.821223699361456,43,42.38729613733905,12,3,6
309,157,68,38.82441694323912,114,111.91886774339281,34,2,32
310,575,248,142.74424157855427,416,407.1340460526315,122,8,118
311,332,149,79.70187280975749,254,248.6399483284391,74,6,68
312,217,160,21.110535957290896,324,317.1739055793991,90,23,47
313,520,384,50.58745943682611,777,760.0480686695278,216,55,112
314,4,3,0.38913430336020083,6,5.846523605150214,2,0,1
315,72,39,13.948912298125647,72,70.57312711768691,21,3,15
316,248,107,61.56621201996775,179,175.5986842105263,53,3,51
317,246,222,0.0,527,515.9410714285714,175,41,7
318,1,0,0.3645804914939182,0,1.2375894039735098,0,0,0
319,209,99,76.1973227222289,264,258.65618543046355,28,6,65
320,138,71,40.229498151039614,134,131.22968215850807,19,14,37
321,401,190,146.1967770890612,507,496.27335099337745,54,11,125
322,49,23,17.86444408320199,62,60.64188079470198,7,1,15
323,277,131,100.76473815103488,349,341.9332058875547,37,8,86
324,195,100,56.529426310583574,188,184.19109792284866,27,21,52
325,279,143,80.88056379821958,269,263.5349554896142,39,29,75
326,0,0,0.0,0,0.0,0,0,0
327,0,0,0.0,0,0.0,0,0,0
328,0,0,0.0,0,0.0,0,0,0
329,349,184,123.1340433590166,361,352.85055165496493,56,49,79
330,94,49,33.16504319698441,97,95.03711133400202,15,13,21
331,142,75,50.100384403955175,147,143.56670010030092,23,20,32
332,23,12,8.114850995006824,24,23.253761283851556,4,3,5
333,13,7,4.586654910221249,13,13.143430290872619,2,2,3
334,2,1,0.7056392169571152,2,2.0220661985957875,0,0,1
335,22,12,7.762031386528267,23,22.242728184553663,4,3,5
336,2,1,0.7056392169571152,2,2.0220661985957875,0,0,1
337,53,28,18.699439249363554,55,53.584754262788366,8,7,12
338,0,0,0.0,0,0.0,0,0,0
339,0,0,0.0,0,0.0,0,0,0
340,240,126,84.67670603485382,248,242.6479438314945,38,33,55
341,1,1,0.3528196084785576,1,1.0110330992978938,0,0,1
342,64,34,22.580454942627686,66,64.7061183550652,10,9,15
343,2,1,0.7056392169571152,2,2.0220661985957875,0,0,1
344,0,0,0.0,0,0.0,0,0,0
345,2,0,0.0,0,0.0,0,0,0
346,0,0,0.0,0,0.0,0,0,0
347,0,0,0.0,0,0.0,0,0,0
348,0,0,0.0,0,0.0,0,0,0
349,0,0,0.0,0,0.0,0,0,0
